                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3943,                 5.3965,                 1.7656,                0.52008,                0.29315,                0.35115,                0.23941,                 1.2228,                 2.5211,                 1.7095,                0.07018,              0.0033134,              0.0033134
                      1,                 1.0957,                 2.3879,                  1.425,                0.67407,                0.66647,                0.76456,                0.57626,                 1.0231,                 1.4538,                 1.5037,               0.040048,              0.0065151,              0.0065151
                      2,                 1.0909,                  1.854,                 1.3809,                0.76436,                0.63647,                0.74185,                0.53108,                  1.117,                 1.6168,                 1.6028,              0.0097844,              0.0095848,              0.0095848
                      3,                  1.139,                 1.6765,                 1.4237,                0.67585,                0.74256,                0.77575,                0.55398,                 1.1557,                 1.5061,                 1.5957,               0.009406,               0.009406,               0.009406
                      4,                 1.1085,                 1.5045,                  1.385,                0.84713,                 0.7969,                 0.8784,                0.65151,                 1.0578,                 1.0557,                 1.5447,               0.009406,               0.009406,               0.009406
                      5,                  1.068,                 1.3402,                 1.3493,                0.87581,                0.75073,                0.85493,                0.65046,                   1.01,                 1.1246,                 1.5047,               0.009208,               0.009208,               0.009208
                      6,                 1.0475,                 1.2473,                 1.3379,                0.90986,                  0.852,                0.93209,                0.70152,                0.97208,                0.87563,                 1.4116,                0.00901,                0.00901,                0.00901
                      7,                 1.0083,                 1.1668,                 1.3092,                0.91183,                0.81664,                0.92471,                0.68771,                0.99811,                0.89281,                 1.4867,               0.008812,               0.008812,               0.008812
                      8,                0.97265,                 1.0787,                   1.27,                0.85922,                0.81718,                 0.9133,                0.68808,                0.97119,                0.91105,                 1.4201,               0.008614,               0.008614,               0.008614
                      9,                 0.9359,                 1.0149,                 1.2475,                0.92773,                0.93911,                 0.9804,                0.76781,                0.82578,                0.67889,                 1.3124,               0.008416,               0.008416,               0.008416
                     10,                0.92692,                0.99297,                 1.2458,                0.94159,                0.89818,                0.97481,                0.75688,                0.87143,                 0.6741,                 1.3353,               0.008218,               0.008218,               0.008218
                     11,                0.91531,                0.92136,                 1.2292,                0.93804,                0.91749,                0.97578,                0.77347,                0.83713,                0.63057,                 1.2873,                0.00802,                0.00802,                0.00802
                     12,                0.90491,                0.91221,                 1.2346,                0.93929,                0.90441,                0.97159,                0.75345,                0.87527,                0.64437,                 1.3628,               0.007822,               0.007822,               0.007822
                     13,                0.88162,                0.90044,                 1.2238,                0.93827,                0.92706,                0.97901,                0.77037,                 0.8561,                0.59532,                 1.3175,               0.007624,               0.007624,               0.007624
                     14,                0.86089,                  0.845,                    1.2,                0.94078,                0.90385,                0.97265,                0.76704,                0.83484,                0.59525,                 1.3135,               0.007426,               0.007426,               0.007426
                     15,                0.84251,                0.79662,                 1.1836,                0.95938,                0.93805,                0.98763,                0.79348,                0.79267,                0.52314,                 1.2832,               0.007228,               0.007228,               0.007228
                     16,                0.83622,                0.79077,                 1.1887,                0.94655,                0.92611,                 0.9792,                0.79344,                0.78439,                0.52228,                  1.269,                0.00703,                0.00703,                0.00703
                     17,                 0.8243,                0.77297,                 1.1704,                0.96865,                0.95038,                0.98743,                0.79909,                0.77058,                0.49297,                 1.2646,               0.006832,               0.006832,               0.006832
                     18,                0.81351,                0.74555,                 1.1677,                0.93462,                0.94813,                0.97801,                 0.7942,                0.76714,                0.53705,                 1.2401,               0.006634,               0.006634,               0.006634
                     19,                0.78967,                0.71817,                 1.1456,                0.95858,                0.95986,                0.98414,                0.80379,                0.75204,                0.47804,                 1.2391,               0.006436,               0.006436,               0.006436
                     20,                0.77246,                0.70666,                 1.1409,                0.96397,                0.93831,                0.98219,                 0.7984,                0.75419,                0.50211,                 1.2527,               0.006238,               0.006238,               0.006238
                     21,                0.77247,                0.70521,                 1.1468,                0.97088,                0.95931,                0.98769,                0.80524,                0.74903,                0.46267,                 1.2429,                0.00604,                0.00604,                0.00604
                     22,                0.74288,                 0.6583,                 1.1203,                0.94444,                0.98033,                0.99014,                 0.8154,                0.72644,                0.44399,                 1.2342,               0.005842,               0.005842,               0.005842
                     23,                0.75258,                0.65464,                 1.1312,                0.95997,                0.96409,                0.98626,                0.81721,                0.71529,                0.45629,                 1.2058,               0.005644,               0.005644,               0.005644
                     24,                0.74541,                0.63347,                  1.129,                0.97377,                0.97256,                0.98718,                0.82631,                0.70684,                0.44788,                 1.1952,               0.005446,               0.005446,               0.005446
                     25,                0.72792,                0.62454,                 1.1118,                0.97493,                 0.9797,                0.99013,                 0.8349,                0.68843,                0.41908,                 1.1934,               0.005248,               0.005248,               0.005248
                     26,                0.70686,                0.58767,                 1.1022,                0.96681,                0.97581,                0.98858,                0.81522,                0.73092,                0.42983,                 1.2235,                0.00505,                0.00505,                0.00505
                     27,                0.70378,                 0.5787,                 1.1033,                0.97741,                0.97201,                0.98914,                0.83059,                0.70443,                 0.4094,                 1.2259,               0.004852,               0.004852,               0.004852
                     28,                0.69172,                0.56769,                 1.0945,                0.97356,                0.97641,                0.98421,                 0.8305,                0.68605,                0.39824,                 1.2049,               0.004654,               0.004654,               0.004654
                     29,                0.68151,                0.56353,                 1.0906,                0.96161,                0.97742,                0.98511,                0.82967,                0.68371,                0.40559,                 1.1874,               0.004456,               0.004456,               0.004456
                     30,                0.68021,                0.55879,                 1.0929,                0.97889,                0.98372,                0.98785,                0.83714,                  0.668,                0.37307,                 1.1832,               0.004258,               0.004258,               0.004258
                     31,                0.66176,                0.54269,                 1.0707,                 0.9674,                0.98919,                0.98956,                0.84952,                0.66505,                0.38466,                 1.1738,                0.00406,                0.00406,                0.00406
                     32,                0.65861,                0.52677,                 1.0774,                0.97646,                0.98601,                0.99199,                0.84259,                0.67371,                0.37715,                 1.1801,               0.003862,               0.003862,               0.003862
                     33,                0.65137,                0.52748,                 1.0773,                0.97669,                0.98341,                0.98851,                0.83893,                0.67566,                0.37633,                 1.1854,               0.003664,               0.003664,               0.003664
                     34,                0.64541,                0.50415,                 1.0702,                0.98119,                0.99023,                0.99127,                0.84832,                0.66121,                 0.3737,                 1.1784,               0.003466,               0.003466,               0.003466
                     35,                0.62748,                0.49499,                 1.0638,                0.97031,                0.98634,                0.99042,                0.84376,                0.65157,                0.35552,                 1.1639,               0.003268,               0.003268,               0.003268
                     36,                0.63135,                0.48207,                  1.064,                0.97523,                0.98614,                0.98985,                0.84671,                0.65972,                0.36057,                 1.1783,                0.00307,                0.00307,                0.00307
                     37,                0.61064,                 0.4718,                 1.0482,                0.98072,                0.98071,                0.99109,                0.85346,                0.64444,                0.34325,                 1.1588,               0.002872,               0.002872,               0.002872
                     38,                0.61294,                0.46575,                 1.0534,                0.97902,                0.98661,                0.99173,                0.85542,                0.64202,                0.34811,                 1.1502,               0.002674,               0.002674,               0.002674
                     39,                0.59466,                0.44286,                 1.0405,                 0.9765,                0.98751,                0.99189,                0.85487,                0.64831,                0.34407,                 1.1564,               0.002476,               0.002476,               0.002476
                     40,                0.52085,                0.31875,                 1.0323,                0.97859,                0.99306,                0.99165,                0.85463,                0.64686,                0.33968,                 1.1779,               0.002278,               0.002278,               0.002278
                     41,                0.50485,                0.30879,                 1.0087,                0.97876,                0.98606,                0.99188,                0.86257,                0.62123,                0.33428,                  1.156,                0.00208,                0.00208,                0.00208
                     42,                0.49148,                0.29756,                 1.0017,                0.98101,                0.97505,                0.99248,                 0.8608,                0.62874,                0.32825,                 1.1479,               0.001882,               0.001882,               0.001882
                     43,                0.48247,                0.29054,                0.99939,                0.98812,                0.98166,                 0.9922,                0.86423,                0.62497,                0.32037,                 1.1494,               0.001684,               0.001684,               0.001684
                     44,                0.47167,                0.28362,                0.98868,                0.98411,                0.97913,                0.98948,                0.86945,                0.61179,                0.32392,                 1.1534,               0.001486,               0.001486,               0.001486
                     45,                0.45215,                 0.2727,                 0.9841,                0.98521,                0.98055,                0.99179,                0.86415,                0.61675,                0.31416,                 1.1466,               0.001288,               0.001288,               0.001288
                     46,                0.44647,                0.26576,                0.96937,                0.98348,                0.98055,                0.99161,                0.86787,                0.60871,                0.30391,                 1.1544,                0.00109,                0.00109,                0.00109
                     47,                0.43148,                0.25571,                0.96668,                0.98864,                0.98048,                0.99181,                0.86828,                0.59663,                0.30073,                 1.1472,               0.000892,               0.000892,               0.000892
                     48,                 0.4194,                0.24958,                0.95462,                0.98468,                0.97979,                0.99169,                0.87124,                 0.6007,                0.30279,                 1.1365,               0.000694,               0.000694,               0.000694
                     49,                0.40691,                0.24267,                0.94509,                0.98899,                0.98105,                0.99192,                0.86847,                 0.5956,                0.29325,                 1.1394,               0.000496,               0.000496,               0.000496
